SCHOOL INTERIOR GRADE,,,,,,,,,,,,,,,,,,,,
1=best,,,,,,,,,,,,,,,,,,,,
,14-15,15-16,16-17,,,,,,,,,,,,,,,,,
"#16
",2,3,2,,,,,,,,,,,,,,,,,
#27,1,1,1,,,,,,,,,,,,,,,,,
#35 ,2,3,3,,,,,,,,,,,,,,,,,
#44 ,1,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PERCENT OF STUDENTS MEETING OR EXCEDING THE STATE STANDARD,,,,,,,,,,,,,,,,,,,,
,"14-15, ELA","15-16, ELA","16-17, ELA","14-15, MATH","15-16, MATH","16-17, MATH","14-15, SCIENCE","15-16, SCIENCE","16-17, SCIENCE",,,,,,,,,,,
"#16
",45,52,45,18,22,15,44,39,,,,,,,,,,,,
#27 ,30,47,43,19,27,21,27,25,,,,,,,,,,,,
#35 ,10,8,7,1,1,0,,,,,,,,,,,,,,
#44 ,55,57,59,20,23,22,39,37,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2016-17 Percent of Students Meeting Fitness Standards 9th grade,,,,,,,,,,,,,,,,,,,,
,"14-15, 4 of 6","14-15, 5 of 6","14-15, 6 of 6","15-16, 4 of 6","15-16, 5 of 6","15-16, 6 of 6","16-17, 4 of 6","16-17, 5 of 6","16-17, 6 of 6",,,,,,,,,,,
"#16
",20.1,20.3,26.1,19.4,22.6,36.1,14.9,29.7,29.5,,,,,,,,,,,
#27 ,19.7,25.7,33.7,17.3,29.6,37.6,19.6,24.3,30.9,,,,,,,,,,,
#35 ,,,,,,,,,,,,,,,,,,,,
#44 ,17.4,29.7,42.7,13.5,34.3,41.7,14.3,30.9,40.3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
AVG. CLASS SIZE,,,,,,,,,,,,,,,,,,,,
,"12-13, ENGLISH","13-14, ENGLISH","14-15, ENGLISH","15-16, ENGLISH","16-17, ENGLISH","12-13, MATH","13-14, MATH","14-15, MATH","15-16, MATH","16-17, MATH","12-13, SCIENCE","13-14, SCIENCE","14-15, SCIENCE","15-16, SCIENCE","16-17, SCIENCE","12-13, SS","13-14, SS","14-15, SS","15-16, SS","16-17, SS"
"#16
",26,26,23,21,20,27,26,23,20,22,24,26,23,23,20,30,28,25,22,21
#27 ,18,18,21,23,23,19,18,21,22,26,18,16,22,24,26,19,16,19,22,23
#35 ,17,14,12,12,14,19,17,14,14,16,13,11,12,11,11,14,12,13,7,11
#44 ,24,22,25,24,24,23,24,25,27,26,20,20,25,24,24,25,23,30,29,27
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
AVG. NUM STUDENTS PER ACADEMIC COUNCELOR,,,,,,,,,,,,,,,,,,,,
,14-15,15-16,16-17,,,,,,,,,,,,,,,,,
"#16
","2,176",350,364,,,, WHATS UP WITH RIGHETTI 14-15?,,,,,,,,,,,,,
#27 ,328,328,327,,,,,,,,,,,,,,,,,
#35 ,407,407,390,,,,,,,,,,,,,,,,,
#44 ,575,575,333,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
AVG. TEACHER SALARY,,,,,,,,,,,,,,,,,,,,
,14-15,15-16,16-17,,,,,,,,,,,,,,,,,
"#16
",74526.69,74526.69,82206.97,,,,,,,,,,,,,,,,,
#27 ,72169.61,72169.61,77675.49,,,,,,,,,,,,,,,,,
#35 ,68594.05,68594.05,82869.49,,,,,,,,,,,,,,,,,
#44 ,69952.07,69952.07,82959.86,,,,,,,,,,,,,,,,,
